gap_id,scope,category,subject_type,osm_id,highway,name,field,severity,detail
gap-00020,context_buffer,missing_osm_tag,way,10548321,residential,1st Cross Street,lanes,information_gap,OSM way has no lanes tag; absence is not evidence of a real-world value or condition.
gap-00021,context_buffer,missing_osm_tag,way,10548321,residential,1st Cross Street,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00022,context_buffer,missing_osm_tag,way,10548323,residential,Bankshall Street,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00023,context_buffer,missing_osm_tag,way,10548323,residential,Bankshall Street,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00024,context_buffer,missing_osm_tag,way,10548323,residential,Bankshall Street,lanes,information_gap,OSM way has no lanes tag; absence is not evidence of a real-world value or condition.
gap-00025,context_buffer,missing_osm_tag,way,10548323,residential,Bankshall Street,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00026,context_buffer,missing_osm_tag,way,10548335,residential,Prince Street,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00027,context_buffer,missing_osm_tag,way,10548335,residential,Prince Street,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00028,context_buffer,missing_osm_tag,way,10548335,residential,Prince Street,lanes,information_gap,OSM way has no lanes tag; absence is not evidence of a real-world value or condition.
gap-00029,context_buffer,missing_osm_tag,way,10548335,residential,Prince Street,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00030,context_buffer,missing_osm_tag,way,10548338,tertiary,Malwatte Road,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00031,context_buffer,missing_osm_tag,way,10548338,tertiary,Malwatte Road,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00032,context_buffer,missing_osm_tag,way,10548338,tertiary,Malwatte Road,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00033,context_buffer,missing_osm_tag,way,10548342,residential,4th Cross Street,oneway,information_gap,OSM way has no oneway tag; absence is not evidence of a real-world value or condition.
gap-00034,context_buffer,missing_osm_tag,way,10548342,residential,4th Cross Street,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00035,context_buffer,missing_osm_tag,way,10548342,residential,4th Cross Street,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00036,context_buffer,missing_osm_tag,way,10548342,residential,4th Cross Street,lanes,information_gap,OSM way has no lanes tag; absence is not evidence of a real-world value or condition.
gap-00037,context_buffer,missing_osm_tag,way,10548342,residential,4th Cross Street,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00038,context_buffer,missing_osm_tag,way,10548344,secondary,5th Cross Street,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00039,context_buffer,missing_osm_tag,way,10548344,secondary,5th Cross Street,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00040,context_buffer,missing_osm_tag,way,10548344,secondary,5th Cross Street,lanes,information_gap,OSM way has no lanes tag; absence is not evidence of a real-world value or condition.
gap-00041,context_buffer,missing_osm_tag,way,10548344,secondary,5th Cross Street,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00042,core,missing_osm_tag,way,10548351,tertiary,Hulftsdorp Street,oneway,information_gap,OSM way has no oneway tag; absence is not evidence of a real-world value or condition.
gap-00043,core,missing_osm_tag,way,10548351,tertiary,Hulftsdorp Street,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00044,core,missing_osm_tag,way,10548351,tertiary,Hulftsdorp Street,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00045,core,missing_osm_tag,way,10548351,tertiary,Hulftsdorp Street,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00046,core,missing_osm_tag,way,10548353,tertiary,Adikarana Road,oneway,information_gap,OSM way has no oneway tag; absence is not evidence of a real-world value or condition.
gap-00047,core,missing_osm_tag,way,10548353,tertiary,Adikarana Road,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00048,core,missing_osm_tag,way,10548353,tertiary,Adikarana Road,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00049,core,missing_osm_tag,way,10548353,tertiary,Adikarana Road,lanes,information_gap,OSM way has no lanes tag; absence is not evidence of a real-world value or condition.
gap-00050,core,missing_osm_tag,way,10548353,tertiary,Adikarana Road,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00051,core,missing_osm_tag,way,10548362,trunk,Olcott Mawatha,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00052,core,missing_osm_tag,way,10548362,trunk,Olcott Mawatha,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00053,core,missing_osm_tag,way,10548374,tertiary,Sanchi Arachchi Garden,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00054,core,missing_osm_tag,way,10548374,tertiary,Sanchi Arachchi Garden,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00055,core,missing_osm_tag,way,10548374,tertiary,Sanchi Arachchi Garden,lanes,information_gap,OSM way has no lanes tag; absence is not evidence of a real-world value or condition.
gap-00056,core,missing_osm_tag,way,10548374,tertiary,Sanchi Arachchi Garden,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00057,context_buffer,missing_osm_tag,way,10548393,tertiary,Dam Street,oneway,information_gap,OSM way has no oneway tag; absence is not evidence of a real-world value or condition.
gap-00058,context_buffer,missing_osm_tag,way,10548393,tertiary,Dam Street,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00059,context_buffer,missing_osm_tag,way,10548393,tertiary,Dam Street,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00060,context_buffer,missing_osm_tag,way,10548393,tertiary,Dam Street,lanes,information_gap,OSM way has no lanes tag; absence is not evidence of a real-world value or condition.
gap-00061,context_buffer,missing_osm_tag,way,10548393,tertiary,Dam Street,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00062,context_buffer,missing_osm_tag,way,10548396,tertiary,Hulftsdorp Street,oneway,information_gap,OSM way has no oneway tag; absence is not evidence of a real-world value or condition.
gap-00063,context_buffer,missing_osm_tag,way,10548396,tertiary,Hulftsdorp Street,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00064,context_buffer,missing_osm_tag,way,10548396,tertiary,Hulftsdorp Street,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00065,context_buffer,missing_osm_tag,way,10548396,tertiary,Hulftsdorp Street,lanes,information_gap,OSM way has no lanes tag; absence is not evidence of a real-world value or condition.
gap-00066,context_buffer,missing_osm_tag,way,10548396,tertiary,Hulftsdorp Street,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00067,context_buffer,missing_osm_tag,way,10548398,tertiary,Saunders Place,oneway,information_gap,OSM way has no oneway tag; absence is not evidence of a real-world value or condition.
gap-00068,context_buffer,missing_osm_tag,way,10548398,tertiary,Saunders Place,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00069,context_buffer,missing_osm_tag,way,10548398,tertiary,Saunders Place,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00070,context_buffer,missing_osm_tag,way,10548398,tertiary,Saunders Place,lanes,information_gap,OSM way has no lanes tag; absence is not evidence of a real-world value or condition.
gap-00071,context_buffer,missing_osm_tag,way,10548398,tertiary,Saunders Place,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00072,context_buffer,missing_osm_tag,way,10548399,tertiary,Dam Street,oneway,information_gap,OSM way has no oneway tag; absence is not evidence of a real-world value or condition.
gap-00073,context_buffer,missing_osm_tag,way,10548399,tertiary,Dam Street,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00074,context_buffer,missing_osm_tag,way,10548399,tertiary,Dam Street,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00075,context_buffer,missing_osm_tag,way,10548399,tertiary,Dam Street,lanes,information_gap,OSM way has no lanes tag; absence is not evidence of a real-world value or condition.
gap-00076,context_buffer,missing_osm_tag,way,10548399,tertiary,Dam Street,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00077,core,missing_osm_tag,way,10557897,secondary,Ven. Baddegama Wimalawansa Thero Mawatha (Dean's Road),access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00078,core,missing_osm_tag,way,10557897,secondary,Ven. Baddegama Wimalawansa Thero Mawatha (Dean's Road),bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00079,core,missing_osm_tag,way,10557897,secondary,Ven. Baddegama Wimalawansa Thero Mawatha (Dean's Road),lanes,information_gap,OSM way has no lanes tag; absence is not evidence of a real-world value or condition.
gap-00080,core,missing_osm_tag,way,10557897,secondary,Ven. Baddegama Wimalawansa Thero Mawatha (Dean's Road),width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00081,core,missing_osm_tag,way,10557898,trunk,Sri Sangaraja Mawatha,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00082,core,missing_osm_tag,way,10557898,trunk,Sri Sangaraja Mawatha,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00083,context_buffer,missing_osm_tag,way,10586778,tertiary,Bodhiraja Mawatha,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00084,context_buffer,missing_osm_tag,way,10586778,tertiary,Bodhiraja Mawatha,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00085,context_buffer,missing_osm_tag,way,10586778,tertiary,Bodhiraja Mawatha,lanes,information_gap,OSM way has no lanes tag; absence is not evidence of a real-world value or condition.
gap-00086,context_buffer,missing_osm_tag,way,10586778,tertiary,Bodhiraja Mawatha,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00087,context_buffer,missing_osm_tag,way,13758915,secondary,Dr. C. W. W. Kannangara Mawatha (Alexandra Place),access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00088,context_buffer,missing_osm_tag,way,13758915,secondary,Dr. C. W. W. Kannangara Mawatha (Alexandra Place),bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00089,context_buffer,missing_osm_tag,way,13758915,secondary,Dr. C. W. W. Kannangara Mawatha (Alexandra Place),width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00090,context_buffer,missing_osm_tag,way,13758947,residential,Navam Mawatha,oneway,information_gap,OSM way has no oneway tag; absence is not evidence of a real-world value or condition.
gap-00091,context_buffer,missing_osm_tag,way,13758947,residential,Navam Mawatha,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00092,context_buffer,missing_osm_tag,way,13758947,residential,Navam Mawatha,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00093,context_buffer,missing_osm_tag,way,13758947,residential,Navam Mawatha,lanes,information_gap,OSM way has no lanes tag; absence is not evidence of a real-world value or condition.
gap-00094,context_buffer,missing_osm_tag,way,13758947,residential,Navam Mawatha,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00095,context_buffer,missing_osm_tag,way,13858379,tertiary,Kynsey Road,oneway,information_gap,OSM way has no oneway tag; absence is not evidence of a real-world value or condition.
gap-00096,context_buffer,missing_osm_tag,way,13858379,tertiary,Kynsey Road,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00097,context_buffer,missing_osm_tag,way,13858379,tertiary,Kynsey Road,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00098,context_buffer,missing_osm_tag,way,13858379,tertiary,Kynsey Road,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00099,context_buffer,missing_osm_tag,way,13858419,trunk,Galle Road,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00100,context_buffer,missing_osm_tag,way,13858419,trunk,Galle Road,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00101,context_buffer,missing_osm_tag,way,13858419,trunk,Galle Road,lanes,information_gap,OSM way has no lanes tag; absence is not evidence of a real-world value or condition.
gap-00102,context_buffer,missing_osm_tag,way,13858419,trunk,Galle Road,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00103,core,missing_osm_tag,way,13859250,primary,Justice Akbar Mawatha,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00104,core,missing_osm_tag,way,13859250,primary,Justice Akbar Mawatha,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00105,core,missing_osm_tag,way,13859250,primary,Justice Akbar Mawatha,lanes,information_gap,OSM way has no lanes tag; absence is not evidence of a real-world value or condition.
gap-00106,core,missing_osm_tag,way,13859250,primary,Justice Akbar Mawatha,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00107,core,missing_osm_tag,way,13859252,primary,Dr. Colvin R. de Silva Mawatha (Union Place),oneway,information_gap,OSM way has no oneway tag; absence is not evidence of a real-world value or condition.
gap-00108,core,missing_osm_tag,way,13859252,primary,Dr. Colvin R. de Silva Mawatha (Union Place),access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00109,core,missing_osm_tag,way,13859252,primary,Dr. Colvin R. de Silva Mawatha (Union Place),bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00110,core,missing_osm_tag,way,13859252,primary,Dr. Colvin R. de Silva Mawatha (Union Place),width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00111,core,missing_osm_tag,way,13859257,service,,name,information_gap,OSM way has no name tag; absence is not evidence of a real-world value or condition.
gap-00112,core,missing_osm_tag,way,13859257,service,,oneway,information_gap,OSM way has no oneway tag; absence is not evidence of a real-world value or condition.
gap-00113,core,missing_osm_tag,way,13859257,service,,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00114,core,missing_osm_tag,way,13859257,service,,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00115,core,missing_osm_tag,way,13859257,service,,lanes,information_gap,OSM way has no lanes tag; absence is not evidence of a real-world value or condition.
gap-00116,core,missing_osm_tag,way,13859257,service,,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00117,core,missing_osm_tag,way,13884292,primary,D. R. Wijewardene Mawatha,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00118,core,missing_osm_tag,way,13884292,primary,D. R. Wijewardene Mawatha,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00119,core,missing_osm_tag,way,13884292,primary,D. R. Wijewardene Mawatha,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00120,context_buffer,missing_osm_tag,way,18598828,primary,Sir Mohamed Macan Makar Mawatha,oneway,information_gap,OSM way has no oneway tag; absence is not evidence of a real-world value or condition.
gap-00121,context_buffer,missing_osm_tag,way,18598828,primary,Sir Mohamed Macan Makar Mawatha,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00122,context_buffer,missing_osm_tag,way,18598828,primary,Sir Mohamed Macan Makar Mawatha,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00123,context_buffer,missing_osm_tag,way,18598828,primary,Sir Mohamed Macan Makar Mawatha,lanes,information_gap,OSM way has no lanes tag; absence is not evidence of a real-world value or condition.
gap-00124,context_buffer,missing_osm_tag,way,18598828,primary,Sir Mohamed Macan Makar Mawatha,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00125,context_buffer,missing_osm_tag,way,18598833,trunk,Galle Face Centre Road,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00126,context_buffer,missing_osm_tag,way,18598833,trunk,Galle Face Centre Road,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00127,context_buffer,missing_osm_tag,way,18598833,trunk,Galle Face Centre Road,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00128,context_buffer,missing_osm_tag,way,18598847,residential,Galle Face Terrace,oneway,information_gap,OSM way has no oneway tag; absence is not evidence of a real-world value or condition.
gap-00129,context_buffer,missing_osm_tag,way,18598847,residential,Galle Face Terrace,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00130,context_buffer,missing_osm_tag,way,18598847,residential,Galle Face Terrace,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00131,context_buffer,missing_osm_tag,way,18598847,residential,Galle Face Terrace,lanes,information_gap,OSM way has no lanes tag; absence is not evidence of a real-world value or condition.
gap-00132,context_buffer,missing_osm_tag,way,18598847,residential,Galle Face Terrace,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00133,context_buffer,missing_osm_tag,way,18599046,trunk,Galle Face Roundabout,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00134,context_buffer,missing_osm_tag,way,18599046,trunk,Galle Face Roundabout,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00135,context_buffer,missing_osm_tag,way,18599046,trunk,Galle Face Roundabout,lanes,information_gap,OSM way has no lanes tag; absence is not evidence of a real-world value or condition.
gap-00136,context_buffer,missing_osm_tag,way,18599046,trunk,Galle Face Roundabout,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00137,context_buffer,missing_osm_tag,way,18599245,tertiary,Rosmead Place,oneway,information_gap,OSM way has no oneway tag; absence is not evidence of a real-world value or condition.
gap-00138,context_buffer,missing_osm_tag,way,18599245,tertiary,Rosmead Place,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00139,context_buffer,missing_osm_tag,way,18599245,tertiary,Rosmead Place,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00140,context_buffer,missing_osm_tag,way,18599245,tertiary,Rosmead Place,lanes,information_gap,OSM way has no lanes tag; absence is not evidence of a real-world value or condition.
gap-00141,context_buffer,missing_osm_tag,way,18599245,tertiary,Rosmead Place,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00142,context_buffer,missing_osm_tag,way,19882433,tertiary,Hyde Park Corner,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00143,context_buffer,missing_osm_tag,way,19882433,tertiary,Hyde Park Corner,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00144,context_buffer,missing_osm_tag,way,19882433,tertiary,Hyde Park Corner,lanes,information_gap,OSM way has no lanes tag; absence is not evidence of a real-world value or condition.
gap-00145,context_buffer,missing_osm_tag,way,23194251,trunk,Olcott Mawatha,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00146,context_buffer,missing_osm_tag,way,23194251,trunk,Olcott Mawatha,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00147,core,missing_osm_tag,way,23323430,residential,Staple Street,oneway,information_gap,OSM way has no oneway tag; absence is not evidence of a real-world value or condition.
gap-00148,core,missing_osm_tag,way,23323430,residential,Staple Street,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00149,core,missing_osm_tag,way,23323430,residential,Staple Street,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00150,core,missing_osm_tag,way,23323430,residential,Staple Street,lanes,information_gap,OSM way has no lanes tag; absence is not evidence of a real-world value or condition.
gap-00151,core,missing_osm_tag,way,23323430,residential,Staple Street,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00152,core,missing_osm_tag,way,23323434,residential,Deshamanya H.K Dharmadasa Mawatha,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00153,core,missing_osm_tag,way,23323434,residential,Deshamanya H.K Dharmadasa Mawatha,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00154,core,missing_osm_tag,way,23323434,residential,Deshamanya H.K Dharmadasa Mawatha,lanes,information_gap,OSM way has no lanes tag; absence is not evidence of a real-world value or condition.
gap-00155,core,missing_osm_tag,way,23323434,residential,Deshamanya H.K Dharmadasa Mawatha,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00156,context_buffer,missing_osm_tag,way,23570028,trunk,Olcott Mawatha,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00157,context_buffer,missing_osm_tag,way,23570028,trunk,Olcott Mawatha,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00158,core,missing_osm_tag,way,23581014,primary,Dr. Colvin R. de Silva Mawatha (Union Place),access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00159,core,missing_osm_tag,way,23581014,primary,Dr. Colvin R. de Silva Mawatha (Union Place),bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00160,core,missing_osm_tag,way,23581014,primary,Dr. Colvin R. de Silva Mawatha (Union Place),lanes,information_gap,OSM way has no lanes tag; absence is not evidence of a real-world value or condition.
gap-00161,core,missing_osm_tag,way,23581014,primary,Dr. Colvin R. de Silva Mawatha (Union Place),width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00162,core,missing_osm_tag,way,23606880,residential,Muttiah Road,oneway,information_gap,OSM way has no oneway tag; absence is not evidence of a real-world value or condition.
gap-00163,core,missing_osm_tag,way,23606880,residential,Muttiah Road,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00164,core,missing_osm_tag,way,23606880,residential,Muttiah Road,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00165,core,missing_osm_tag,way,23606880,residential,Muttiah Road,lanes,information_gap,OSM way has no lanes tag; absence is not evidence of a real-world value or condition.
gap-00166,core,missing_osm_tag,way,23606949,residential,Braybrooke Place,oneway,information_gap,OSM way has no oneway tag; absence is not evidence of a real-world value or condition.
gap-00167,core,missing_osm_tag,way,23606949,residential,Braybrooke Place,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00168,core,missing_osm_tag,way,23606949,residential,Braybrooke Place,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00169,core,missing_osm_tag,way,23606949,residential,Braybrooke Place,lanes,information_gap,OSM way has no lanes tag; absence is not evidence of a real-world value or condition.
gap-00170,core,missing_osm_tag,way,23606949,residential,Braybrooke Place,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00171,context_buffer,missing_osm_tag,way,23924485,trunk,Sir Chittampalam A. Gardiner Mawatha,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00172,context_buffer,missing_osm_tag,way,23924485,trunk,Sir Chittampalam A. Gardiner Mawatha,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00173,context_buffer,missing_osm_tag,way,23924485,trunk,Sir Chittampalam A. Gardiner Mawatha,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00174,core,missing_osm_tag,way,23951709,trunk,Slave Island Police Round About,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00175,core,missing_osm_tag,way,23951709,trunk,Slave Island Police Round About,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00176,core,missing_osm_tag,way,23951709,trunk,Slave Island Police Round About,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00177,context_buffer,missing_osm_tag,way,23951712,tertiary,Sri Jinarathana Road,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00178,context_buffer,missing_osm_tag,way,23951712,tertiary,Sri Jinarathana Road,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
